code,name,source,cal,protein_g,carb_g,fat_g,fiber_g,serving_desc,serving_g
USDA-167750,"Prickly pears, raw",USDA,41,0.7,9.6,0.5,3.6,,
USDA-167751,"Plums, dried (prunes), stewed, without added sugar",USDA,107,1,28.1,0.2,3.1,,
USDA-167752,"Plums, dried (prunes), stewed, with added sugar",USDA,124,1.1,32.9,0.2,3.8,,
USDA-167753,"Prune juice, canned",USDA,71,0.6,17.5,0,1,,
USDA-167754,"Pummelo, raw",USDA,38,0.8,9.6,0,1,,
USDA-167755,"Raspberries, raw",USDA,52,1.2,11.9,0.7,6.5,,
USDA-167756,"Raspberries, canned, red, heavy syrup pack, solids and liquids",USDA,91,0.8,23.4,0.1,3.3,,
USDA-167757,"Raspberries, frozen, red, sweetened",USDA,103,0.7,26.2,0.2,4.4,,
USDA-167758,"Rhubarb, raw",USDA,21,0.9,4.5,0.2,1.8,,
USDA-167759,"Sapodilla, raw",USDA,83,0.4,20,1.1,5.3,,
USDA-167760,"Sapote, mamey, raw",USDA,124,1.5,32.1,0.5,5.4,,
USDA-167761,"Soursop, raw",USDA,66,1,16.8,0.3,3.3,,
USDA-167762,"Strawberries, raw",USDA,32,0.7,7.7,0.3,2,,
USDA-167763,"Tamarinds, raw",USDA,239,2.8,62.5,0.6,5.1,,
USDA-167764,"Fruit salad, (pineapple and papaya and banana and guava), tropical, canned, heavy syrup, solids and liquids",USDA,86,0.4,22.4,0.1,1.3,,
USDA-167765,"Watermelon, raw",USDA,30,0.6,7.6,0.2,0.4,,
USDA-167766,"Maraschino cherries, canned, drained",USDA,165,0.2,42,0.2,3.2,,
USDA-167767,"Pineapple, canned, juice pack, drained",USDA,60,0.5,15.6,0.1,1.3,,
USDA-167768,"Apricots, canned, heavy syrup, drained",USDA,83,0.6,21.3,0.1,2.7,,
USDA-167769,"Cherries, sour, canned, water pack, drained",USDA,42,0.7,10.5,0.2,1.2,,
USDA-167770,"Cherries, sweet, canned, pitted, heavy syrup, drained",USDA,83,0.7,21.1,0.2,2.3,,
USDA-167771,"Apple juice, canned or bottled, unsweetened, with added ascorbic acid",USDA,46,0.1,11.3,0.1,0.2,,
USDA-167772,"Applesauce, canned, unsweetened, with added ascorbic acid",USDA,42,0.2,11.3,0.1,1.1,,
USDA-167773,"Applesauce, canned, sweetened, with salt",USDA,76,0.2,19.9,0.2,1.2,,
USDA-167774,"Grapefruit juice, pink, raw",USDA,39,0.5,9.2,0.1,,,
USDA-167775,"Apple juice, frozen concentrate, unsweetened, diluted with 3 volume water, with added ascorbic acid",USDA,47,0.1,11.5,0.1,0.1,,
USDA-167776,"Pears, raw, bartlett (Includes foods for USDA's Food Distribution Program)",USDA,63,0.4,15,0.2,3.1,,
USDA-167777,"Pears, raw, red anjou",USDA,62,0.3,14.9,0.1,3,,
USDA-167778,"Pears, raw, bosc (Includes foods for USDA's Food Distribution Program)",USDA,67,0.4,16.1,0.1,3.1,,
USDA-167779,"Pears, raw, green anjou (Includes foods for USDA's Food Distribution Program)",USDA,66,0.4,15.8,0.1,3.1,,
